GovInvPerc,Unemployement
0.163095561,3.9
0.162411538,3.6
0.158773878,3.7
0.163250629,4.3
0.177502487,5.3
0.184061743,6.7
0.19505121,7.9
0.189514022,6.5
0.191871296,5.8
0.18885171,5
0.181241073,4.2
0.175579046,3.7
0.167676462,3.1
0.170099274,3.1
0.181710914,3.5
0.208808063,3.2
0.233033165,2.9
0.252503265,3.2
0.26073358,3
0.263448372,2.9
0.268253858,2.7
0.2758309,2.6
0.279195289,3.1
0.292792152,4.9
0.299885812,5.9
0.296473907,5.8
0.294342508,5.7
0.270413718,4.9
0.255098607,4.7
0.247359681,4
0.240271285,4.3
0.240680874,4
0.235321161,4
0.238367133,4.4
0.233026094,3.9
0.23176463,4.2
0.235055398,3.9
0.232084534,4.2
0.239120536,4.5
0.251908904,5.8
0.252014265,7.4
0.246516129,7.5
0.240247054,6.7
0.2406001,6
0.239890043,5.2
0.243694385,5.1
0.246257758,5.7
0.238872936,5.2
0.239260859,5.2
0.238012467,5.5
0.238981924,6.1
0.236462634,6.6
0.2379292,7
0.2370215,7
0.233688529,6.5
0.236065021,5.8
0.235136941,5.6
0.235342783,5.4
0.242859511,5.4
0.243104764,5.7
0.240268817,5.7
0.238890357,5.6
0.237448193,5.5
0.233591625,5.6
0.231199756,5.3
0.233779972,4.9
0.233485479,5.1
0.230350042,4.9
0.228755323,4.8
0.224027057,4.4
0.219361147,4.2
0.214419433,4
0.218963476,3.8
0.221566064,3.8
0.226897542,3.7
0.229057008,3.9
0.232085846,3.8
0.236875464,3.8
0.239807007,4
0.244575259,3.7
0.242131058,3.5
0.242778686,3.7
0.244733529,3.4
0.244196151,3.4
0.248161005,3.4
0.246999836,3.5
0.247163194,3.7
0.246284148,3.9
0.247662581,4.6
0.242384432,5
0.242480736,5.5
0.233438231,5.9
0.229866043,5.9
0.229456866,6
0.229064633,5.8
0.222972973,5.8
0.217332665,5.7
0.216200755,5.6
0.212405945,5.6
0.210826628,4.9
0.209449106,5
0.206734105,4.8
0.204900825,4.6
0.208378831,5.1
0.206373403,5.1
0.204390836,5.5
0.209319582,6
0.214856018,8.1
0.21733593,8.8
0.210910162,8.6
0.20783231,8.4
0.205926401,7.9
0.204906102,7.7
0.205790851,7.8
0.205404649,7.7
0.201104972,7.5
0.19719985,7.2
0.193017523,6.9
0.193380315,6.8
0.192087403,6.4
0.188549055,6.1
0.189301852,6.2
0.186572794,5.8
0.186221203,5.9
0.189165382,5.8
0.190652865,5.7
0.1908912,6
0.187635306,6.3
0.192239468,6.9
0.193504479,7.8
0.191204051,7.5
0.189445279,7.5
0.192326626,7.2
0.190253017,7.2
0.191954023,7.9
0.197546051,8.6
0.196987327,9.3
0.199778095,9.8
0.201278764,10.4
0.199146426,10.4
0.193260289,10.2
0.194320106,9.4
0.19616059,8.8
0.188081235,8.1
0.186077759,7.7
0.185650173,7.4
0.181658746,7.3
0.1825297,7.4
0.188986441,7.3
0.188266681,7.3
0.189274792,7.1
0.189594475,6.7
0.193462182,7.1
0.20197177,7
0.201601671,6.9
0.196695744,6.7
0.199084608,6.3
0.197583144,6
0.19717451,6
0.1953809,5.8
0.193208168,5.4
